,blpa-majority-acc,blpa-majority-time,blpa-majority-f1,blpa-mean-acc,blpa-mean-time,blpa-mean-f1,bekm-majority-acc,bekm-majority-time,bekm-majority-f1,bekm-mean-acc,bekm-mean-time,bekm-mean-f1
200,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
400,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
600,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
800,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
1000,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
1200,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
1400,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
1600,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
1800,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
2000,0.540590405904059,56.908201456069946,0.4343484739768214,0.5461254612546126,56.95288133621216,0.43404163520744,0.3837638376383764,60.387439489364624,0.2476304941479866,0.3929889298892989,57.31794357299805,0.26119744491269115
