,# edges,setting,accuracy,time
0,20,RE,0.7372372372372372,2.441124439239502
1,20,UL,0.7177177177177178,5.098506689071655
2,40,RE,0.7462462462462462,2.460157871246338
3,40,UL,0.7177177177177178,4.959953546524048
4,60,RE,0.7042042042042042,2.513611316680908
5,60,UL,0.7162162162162162,4.777785301208496
6,80,RE,0.7342342342342343,2.6103761196136475
7,80,UL,0.7162162162162162,4.969697713851929
8,100,RE,0.7357357357357357,2.522291660308838
9,100,UL,0.7147147147147147,5.341878652572632
10,120,RE,0.7147147147147147,2.526045322418213
11,120,UL,0.7147147147147147,6.358649730682373
12,140,RE,0.7042042042042042,2.5462372303009033
13,140,UL,0.7147147147147147,4.915977478027344
14,160,RE,0.7072072072072072,2.529641628265381
15,160,UL,0.7147147147147147,4.985236644744873
16,180,RE,0.7147147147147147,2.3716886043548584
17,180,UL,0.7147147147147147,4.9909827709198
18,200,RE,0.7012012012012012,2.632032632827759
19,200,UL,0.7147147147147147,4.750010013580322
