,tsne_x,tsne_y,setting
0,-110.7596206665039,-65.16932678222656,R_gcn
1,-211.93690490722656,0.10587573796510696,U_gcn
2,220.10479736328125,-10.594326972961426,R_gcn
3,-33.67991638183594,-119.67686462402344,U_gcn
4,52.59726333618164,44.94139099121094,R_gcn
5,72.5755844116211,146.21865844726562,U_gcn
6,-193.8238525390625,-119.1209487915039,R_gcn
7,-139.28834533691406,135.059814453125,U_gcn
8,119.79344940185547,-25.29861831665039,R_gcn
9,116.74732208251953,-219.1787872314453,U_gcn
10,66.35904693603516,-132.76580810546875,R_gcn
11,33.80702209472656,-50.7582893371582,U_gcn
12,-108.36013793945312,-192.3599090576172,R_gcn
13,-29.61811065673828,186.3017578125,U_gcn
14,-38.44506072998047,-7.197322368621826,R_gcn
15,-120.34214782714844,37.39274597167969,U_gcn
16,156.02357482910156,82.56639862060547,R_gcn
17,173.00868225097656,-116.8553695678711,U_gcn
18,-30.760713577270508,86.83932495117188,R_gcn
19,-1.5728837251663208,-222.94407653808594,U_gcn
20,53.95952224731445,137.0398712158203,R_gat
21,89.27131652832031,-169.6790008544922,U_gat
22,235.06088256835938,22.052898406982422,R_gat
23,173.02932739257812,-87.33934020996094,U_gat
24,-232.1609344482422,89.49695587158203,R_gat
25,-35.899471282958984,225.99636840820312,U_gat
26,124.94954681396484,28.814680099487305,R_gat
27,-132.65267944335938,44.08610916137695,U_gat
28,-146.2166748046875,177.5127716064453,R_gat
29,-28.306764602661133,-112.27714538574219,U_gat
30,-144.858642578125,-177.145263671875,R_gat
31,-52.800567626953125,109.99969482421875,U_gat
32,-235.8690185546875,-41.214576721191406,R_gat
33,-47.14006805419922,-10.828546524047852,U_gat
34,-21.225919723510742,-221.92697143554688,R_gat
35,172.45779418945312,136.63282775878906,U_gat
36,27.913820266723633,43.30597686767578,R_gat
37,-130.89585876464844,-68.81660461425781,U_gat
38,58.871337890625,-57.54330062866211,R_gat
39,91.72541809082031,239.73622131347656,U_gat
40,32.03551483154297,-85.36095428466797,R_sage
41,18.83159065246582,55.905433654785156,U_sage
42,14.797435760498047,-51.096282958984375,R_sage
43,-20.577058792114258,71.39845275878906,U_sage
44,-62.874603271484375,52.669368743896484,R_sage
45,-83.74391174316406,-44.92947769165039,U_sage
46,-21.0117130279541,33.786434173583984,R_sage
47,73.35904693603516,-6.296836853027344,U_sage
48,56.0554313659668,-47.60489273071289,R_sage
49,-24.826133728027344,-1.5894848108291626,U_sage
50,35.12416458129883,-12.13383674621582,R_sage
51,-56.392086029052734,15.42333698272705,U_sage
52,49.53245162963867,29.53529167175293,R_sage
53,-52.06648635864258,-23.855640411376953,U_sage
54,10.675481796264648,16.13739013671875,R_sage
55,-91.05728912353516,-0.11214535683393478,U_sage
56,1.400565266609192,-20.044044494628906,R_sage
57,-52.75057601928711,-73.8593521118164,U_sage
58,-24.08485221862793,-46.15266036987305,R_sage
59,-12.197214126586914,-85.31163787841797,U_sage
60,0.8985636234283447,17.420185089111328,R_gin
61,14.550853729248047,45.140052795410156,U_gin
62,101.79792022705078,21.609619140625,R_gin
63,54.86737060546875,19.116424560546875,U_gin
64,32.207191467285156,-30.592748641967773,R_gin
65,77.28137969970703,7.268197059631348,U_gin
66,49.53527069091797,-7.638994216918945,R_gin
67,7.802880764007568,-53.56046676635742,U_gin
68,45.48991775512695,48.076324462890625,R_gin
69,22.61981773376465,-5.1721367835998535,U_gin
70,75.77745819091797,41.07361602783203,R_gin
71,29.95197105407715,19.25493621826172,U_gin
72,104.67271423339844,-11.62098217010498,R_gin
73,57.44905471801758,-36.7327880859375,U_gin
74,92.76728057861328,-41.90129470825195,R_gin
75,-16.146072387695312,-6.478957176208496,U_gin
76,75.16947174072266,-18.352519989013672,R_gin
77,4.319382667541504,-25.557119369506836,U_gin
78,69.2568359375,-63.339717864990234,R_gin
79,37.80055236816406,-60.40729904174805,U_gin
