,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.5503355704697986,11.399476766586304,0.42758027522935776,20,0.4865771812080537,5.342893123626709,0.327313769751693,18
400,0.5436241610738255,12.282590866088867,0.4190366972477065,20,0.4865771812080537,5.462457656860352,0.327313769751693,19
600,0.540268456375839,10.737599849700928,0.3976600421959604,20,0.4865771812080537,6.489979267120361,0.327313769751693,20
800,0.5536912751677853,12.075583934783936,0.43408295852073964,20,0.4865771812080537,5.855900287628174,0.327313769751693,20
1000,0.5335570469798657,10.454082012176514,0.38355532405684944,20,0.5134228187919463,7.81898307800293,0.40543515651874784,20
1200,0.5302013422818792,11.565247058868408,0.3763826606875934,20,0.48322147651006714,6.264594554901123,0.33685914109011045,20
1400,0.5302013422818792,10.332947015762329,0.3763826606875934,20,0.4865771812080537,5.748812675476074,0.327313769751693,20
1600,0.5503355704697986,12.617093801498413,0.43637082204155375,20,0.4865771812080537,6.168437957763672,0.327313769751693,20
1800,0.5436241610738255,11.829539060592651,0.40955710955710956,20,0.4865771812080537,5.661390066146851,0.327313769751693,20
2000,0.5436241610738255,11.647526979446411,0.4190366972477065,20,0.4865771812080537,5.7370030879974365,0.327313769751693,20
