,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8265682656826568,14.401252508163452,0.800282283002686,0.8265682656826568,1.910698413848877,0.8034993235638418,0.5830258302583026,362.3847436904907,0.5659955220936413,8,0.470479704797048,466.5504410266876,0.4333820117642143,20
400,0.8357933579335793,11.435267925262451,0.8226064120412742,0.8247232472324724,2.0563888549804688,0.802438998290172,0.5867158671586716,614.6720197200775,0.5686080545481496,13,0.45018450184501846,465.1894705295563,0.41629476213142896,20
600,0.8228782287822878,9.28905725479126,0.8051476325434266,0.8154981549815498,1.713383674621582,0.794438042081952,0.5922509225092251,910.8296256065369,0.5759528286538494,20,0.45571955719557194,451.25539231300354,0.41748287216856256,20
800,0.8321033210332104,9.862609386444092,0.815109510861397,0.8136531365313653,1.820385217666626,0.7921952702846139,0.5904059040590406,936.2488195896149,0.5733766906764632,20,0.44280442804428044,486.019935131073,0.41031451652469025,20
1000,0.8173431734317343,15.910662412643433,0.7944568307359546,0.8118081180811808,1.7824747562408447,0.7902895706813187,0.5867158671586716,962.4855179786682,0.570188281947187,20,0.4446494464944649,448.79685497283936,0.4104949585063518,20
1200,0.8081180811808119,10.295522689819336,0.7886239311027039,0.8044280442804428,1.5952367782592773,0.7859828220485753,0.5959409594095941,925.7386121749878,0.5754165370247256,20,0.45018450184501846,471.03701972961426,0.4126055579765417,20
1400,0.8081180811808119,10.265071153640747,0.7939905495844396,0.8081180811808119,1.756542444229126,0.7888335931264975,0.5922509225092251,925.5296363830566,0.5769766968731412,20,0.45202952029520294,440.60238885879517,0.41914730458182436,20
1600,0.8025830258302583,10.740009069442749,0.7904900697524526,0.8081180811808119,1.7377822399139404,0.7902885508703836,0.584870848708487,855.6370756626129,0.5648042438964583,20,0.4575645756457565,330.01507115364075,0.4184746371768199,20
1800,0.7730627306273062,15.232759475708008,0.7592187911814733,0.8062730627306273,1.8069162368774414,0.7879023559043695,0.5904059040590406,727.7694606781006,0.5687326989114686,20,0.45018450184501846,333.71256852149963,0.41460343609643907,20
2000,0.7988929889298892,13.817558288574219,0.7763697315554412,0.8099630996309963,2.1621601581573486,0.7912255251707598,0.5867158671586716,704.5232992172241,0.5695816904172303,20,0.45202952029520294,333.2101182937622,0.41762852914270326,20
