,retrain-acc,retrain-time,unlearn-acc,unlearn-time,blpa-acc,blpa-time,blpa-#-shards,bekm-acc,bekm-time,bekm-#-shards
200,0.8624161073825504,4.144042491912842,0.8624161073825504,0.689220666885376,0.7416107382550335,72.15267610549927,20,0.6577181208053692,56.572026014328,17
400,0.8624161073825504,4.3337202072143555,0.8624161073825504,0.8413078784942627,0.7751677852348994,73.89074969291687,20,0.6208053691275168,60.610429763793945,19
600,0.8657718120805369,4.896966934204102,0.8624161073825504,1.2906124591827393,0.7550335570469798,69.01662731170654,20,0.6174496644295302,63.07682824134827,19
800,0.8624161073825504,5.811023235321045,0.8624161073825504,1.4899647235870361,0.7785234899328859,71.69942831993103,20,0.5906040268456376,64.13037323951721,20
1000,0.8624161073825504,5.731250762939453,0.8624161073825504,1.7731282711029053,0.7718120805369127,67.08922290802002,20,0.5973154362416108,62.223814487457275,20
1200,0.8624161073825504,4.75434422492981,0.8624161073825504,2.085782289505005,0.7651006711409396,73.04345917701721,20,0.6006711409395973,65.13649344444275,20
1400,0.8624161073825504,5.21064829826355,0.8624161073825504,2.7042462825775146,0.7348993288590604,66.21690464019775,20,0.5939597315436241,59.698493003845215,20
1600,0.8624161073825504,4.633161306381226,0.8624161073825504,2.954930067062378,0.7583892617449665,74.1179711818695,20,0.5906040268456376,65.69511413574219,20
1800,0.8624161073825504,4.861461400985718,0.8624161073825504,3.0255520343780518,0.7651006711409396,70.10407209396362,20,0.5906040268456376,64.69717335700989,20
2000,0.8657718120805369,6.942714214324951,0.8624161073825504,3.4513561725616455,0.7684563758389261,68.54983735084534,20,0.587248322147651,61.30613660812378,20
